cntr_group,region,country,Code,year,year_end,varname,value,value_end,pop,min_yr,max_yr,trans_rec_end_yr,era,era_col,era_num,era_low,era_high,cntr_region,change_val,change_lab,change_sign,sel_var
Baltics,CEE,Lithuania,LTU,1965,1989,% of DE,101.51390936083631,94.92506658539494,2965212,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,Baltics: Lithuania,-6.588842775441364,-6.6,divergence,% of DE
Baltics,CEE,Lithuania,LTU,1989,1995,% of DE,94.92506658539494,90.15943515149931,3696048,1950,2023,1995,1989-1995,transition,3,2.5,3.5,Baltics: Lithuania,-4.765631433895635,-4.8,divergence,% of DE
Baltics,CEE,Lithuania,LTU,1995,2023,% of DE,90.15943515149931,93.42239950256644,3626997,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,Baltics: Lithuania,3.262964351067126,+3.3,convergence,% of DE
CEE,CEE,Poland,POL,1950,1965,% of DE,87.31036113705487,98.24396708818819,24780120,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,CEE: Poland,10.933605951133316,+10.9,convergence,% of DE
CEE,CEE,Poland,POL,1965,1989,% of DE,98.24396708818819,93.83717386407305,31288294,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,CEE: Poland,-4.406793224115134,-4.4,divergence,% of DE
CEE,CEE,Poland,POL,1989,1995,% of DE,93.83717386407305,94.00050946095111,37938044,1950,2023,1995,1989-1995,transition,3,2.5,3.5,CEE: Poland,0.16333559687805632,+0.2,no change,% of DE
CEE,CEE,Poland,POL,1995,2023,% of DE,94.00050946095111,96.62708579868932,38364630,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,CEE: Poland,2.6265763377382143,+2.6,convergence,% of DE
CEE,CEE,Romania,ROU,1950,1965,% of DE,90.56610268936944,96.83016378029906,16397220,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,CEE: Romania,6.264061090929616,+6.3,convergence,% of DE
CEE,CEE,Romania,ROU,1965,1989,% of DE,96.83016378029906,92.15431910636437,18713016,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,CEE: Romania,-4.675844673934691,-4.7,divergence,% of DE
CEE,CEE,Romania,ROU,1989,1995,% of DE,92.15431910636437,90.55733721742878,22887592,1950,2023,1995,1989-1995,transition,3,2.5,3.5,CEE: Romania,-1.5969818889355878,-1.6,divergence,% of DE
CEE,CEE,Romania,ROU,1995,2023,% of DE,90.55733721742878,93.31561349116527,22657664,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,CEE: Romania,2.7582762737364845,+2.8,convergence,% of DE
USSR,ex-USSR/Balkans,Russia,RUS,1950,1965,% of DE,83.02844433268673,98.10152481200026,103392314,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,USSR: Russia,15.073080479313532,+15.1,convergence,% of DE
USSR,ex-USSR/Balkans,Russia,RUS,1965,1989,% of DE,98.10152481200026,92.34075821219872,126634148,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,USSR: Russia,-5.760766599801542,-5.8,divergence,% of DE
USSR,ex-USSR/Balkans,Russia,RUS,1989,1995,% of DE,92.34075821219872,83.5966636839252,148281823,1950,2023,1995,1989-1995,transition,3,2.5,3.5,USSR: Russia,-8.744094528273521,-8.7,divergence,% of DE
USSR,ex-USSR/Balkans,Russia,RUS,1995,2023,% of DE,83.5966636839252,89.89452884512588,148291356,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,USSR: Russia,6.297865161200676,+6.3,convergence,% of DE
Yugosl.,ex-USSR/Balkans,Serbia,SRB,1950,1965,% of DE,82.45249299518643,97.29841090490491,6009148,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,Yugosl.: Serbia,14.84591790971848,+14.8,convergence,% of DE
