year,ksh_kod,telepules,jogallas,megye,terulet_ha,lakonepesseg,lakasok
2012,02990,Bátorliget,község,Szabolcs-Szatmár-Bereg,3330.0,643,353
2012,18102,Battonya,város,Békés,14571.0,5565,3100
2012,11961,Bátya,község,Bács-Kiskun,3386.0,2023,969
2012,24864,Batyk,község,Zala,809.0,393,191
2012,18698,Bázakerettye,község,Zala,803.0,826,392
2012,07427,Bazsi,község,Veszprém,910.0,388,205
2012,22901,Béb,község,Veszprém,704.0,254,108
2012,23144,Becsehely,község,Zala,3608.0,2066,760
2012,12016,Becske,község,Nógrád,1566.0,518,285
2012,27049,Becskeháza,község,Borsod-Abaúj-Zemplén,500.0,44,40
2012,18360,Becsvölgye,község,Zala,2140.0,768,354
2012,20710,Bedegkér,község,Somogy,2600.0,463,248
2012,33446,Bedő,község,Hajdú-Bihar,1020.0,252,143
2012,10384,Bejcgyertyános,község,Vas,3143.0,453,269
2012,27058,Békás,község,Veszprém,652.0,231,97
2012,06929,Bekecs,község,Borsod-Abaúj-Zemplén,2572.0,2391,934
2012,09760,Békés,város,Békés,12723.0,19763,8277
2012,15200,Békéscsaba,"megyeszékhely, megyei jogú város",Békés,19393.0,63752,29495
2012,26189,Békéssámson,község,Békés,7121.0,2318,1136
2012,02680,Békésszentandrás,nagyközség,Békés,7745.0,3765,1931
2012,04400,Bekölce,község,Heves,1377.0,637,368
2012,33260,Bélapátfalva,város,Heves,3663.0,2996,1150
2012,06910,Bélavár,község,Somogy,2278.0,342,221
2012,28662,Belecska,község,Tolna,1441.0,420,142
2012,10588,Beled,város,Győr-Moson-Sopron,2647.0,2553,1109
2012,17127,Beleg,község,Somogy,1799.0,597,233
2012,09168,Belezna,község,Zala,3093.0,785,283
2012,19390,Bélmegyer,község,Békés,6305.0,981,575
2012,08466,Beloiannisz,község,Fejér,454.0,1100,437
2012,20950,Belsősárd,község,Zala,979.0,99,44
2012,19008,Belvárdgyula,község,Baranya,1723.0,402,183
2012,25441,Benk,község,Szabolcs-Szatmár-Bereg,850.0,451,187
2012,25098,Bénye,község,Pest,1652.0,1221,506
2012,32911,Bér,község,Nógrád,2549.0,377,212
2012,32124,Bérbaltavár,község,Vas,2567.0,493,308
2012,02389,Bercel,község,Nógrád,3590.0,2111,742
2012,28246,Beregdaróc,község,Szabolcs-Szatmár-Bereg,2382.0,735,363
2012,20677,Beregsurány,község,Szabolcs-Szatmár-Bereg,1601.0,644,237
2012,18467,Berekböszörmény,község,Hajdú-Bihar,4284.0,1749,787
2012,34005,Berekfürdő,község,Jász-Nagykun-Szolnok,1857.0,1010,488
2012,31927,Beremend,nagyközség,Baranya,4826.0,2594,1028
2012,34290,Berente,község,Borsod-Abaúj-Zemplén,922.0,1117,435
2012,29674,Beret,község,Borsod-Abaúj-Zemplén,678.0,272,95
2012,12788,Berettyóújfalu,város,Hajdú-Bihar,17098.0,15167,6338
2012,33127,Berhida,város,Veszprém,4273.0,5967,2045
2012,09034,Berkenye,község,Nógrád,1346.0,637,265
2012,16461,Berkesd,község,Baranya,1904.0,864,291
2012,07472,Berkesz,község,Szabolcs-Szatmár-Bereg,1318.0,908,345
2012,18777,Bernecebaráti,község,Pest,3769.0,848,456
2012,26356,Berzék,község,Borsod-Abaúj-Zemplén,1059.0,1145,347
2012,30119,Berzence,nagyközség,Somogy,5376.0,2502,993
2012,30049,Besence,község,Baranya,958.0,121,48
2012,13639,Besenyőd,község,Szabolcs-Szatmár-Bereg,945.0,642,257
2012,27517,Besenyőtelek,község,Heves,4910.0,2569,1108
2012,11305,Besenyszög,község,Jász-Nagykun-Szolnok,13808.0,3372,1431
2012,16346,Besnyő,község,Fejér,4464.0,1779,668
2012,21227,Beszterec,község,Szabolcs-Szatmár-Bereg,1159.0,980,383
2012,14119,Bezedek,község,Baranya,1136.0,238,109
2012,29805,Bezenye,község,Győr-Moson-Sopron,3003.0,1393,559
2012,12830,Bezeréd,község,Zala,1214.0,153,156
2012,10560,Bezi,község,Győr-Moson-Sopron,1122.0,510,201
2012,08891,Biatorbágy,város,Pest,4412.0,12805,4466
2012,13310,Bicsérd,község,Baranya,1975.0,1008,354
2012,10481,Bicske,város,Fejér,7708.0,11642,4042
2012,25256,Bihardancsháza,község,Hajdú-Bihar,831.0,180,104
2012,19956,Biharkeresztes,város,Hajdú-Bihar,4926.0,3888,1669
2012,24828,Biharnagybajom,község,Hajdú-Bihar,6135.0,2731,1134
2012,29887,Bihartorda,község,Hajdú-Bihar,2238.0,897,434
