country,iso2c,iso3c,year,gdp_pc_ppp,gdp_pc_const2015,gni_pc_ppp
Lithuania,LT,LTU,2009,26217.5449293891,10612.9204044582,27293.4812145005
Lithuania,LT,LTU,2010,26887.4913057701,10884.1161852582,27255.7906953072
Lithuania,LT,LTU,2011,29240.7487851392,11836.7200384033,28753.0126450995
Lithuania,LT,LTU,2012,30920.330402208,12516.6184065667,30148.7291915333
Lithuania,LT,LTU,2013,32474.6413533554,13145.8069309969,31888.7020856757
Lithuania,LT,LTU,2014,33975.0843756963,13753.1895982305,33896.2550613318
Lithuania,LT,LTU,2015,35251.2986931775,14269.8039878287,34986.0737141129
Lithuania,LT,LTU,2016,36618.1468417838,14823.107153522,36777.3924098407
Lithuania,LT,LTU,2017,38774.4892011822,15695.9993288456,38922.2468891648
Lithuania,LT,LTU,2018,41019.7901632878,16604.9021440809,40954.7368088697
Lithuania,LT,LTU,2019,43062.3228425315,17431.7239081591,43217.0170040038
Lithuania,LT,LTU,2020,43091.7973723526,17443.65526328,43744.4974636124
Lithuania,LT,LTU,2021,45873.5273239486,18569.7057246217,44335.3184030279
Lithuania,LT,LTU,2022,46651.2145810247,18884.5152531698,41853.8792158661
Lithuania,LT,LTU,2023,46159.7081733083,18685.5523679178,43616.2619023607
Lithuania,LT,LTU,2024,47169.0084190287,19094.1193485745,NA
Poland,PL,POL,1990,12821.4636316574,5111.3453296443,NA
Poland,PL,POL,1991,11879.7539252619,4735.9276980893,NA
Poland,PL,POL,1992,12141.2351323725,4840.16858549117,NA
Poland,PL,POL,1993,12563.1045363124,5008.34908886395,NA
Poland,PL,POL,1994,13200.1614164951,5262.31523522496,NA
Poland,PL,POL,1995,14227.5663687798,5671.89573674798,14089.8725154725
Poland,PL,POL,1996,15083.09812162,6012.95806433166,14889.8731188471
Poland,PL,POL,1997,16031.7211485265,6391.13172823376,15776.3729936234
Poland,PL,POL,1998,16766.6492883267,6684.11477782234,16580.7228502675
Poland,PL,POL,1999,17556.0026927987,6998.79475144289,17288.4020649001
Poland,PL,POL,2000,18566.3546288772,7401.57697647848,17956.9231679449
Poland,PL,POL,2001,18800.6018648402,7494.96089503246,18160.4244459862
Poland,PL,POL,2002,19166.9137058143,7640.99307757777,18376.0014531356
Poland,PL,POL,2003,19855.6317989181,7915.55424389704,18862.9217866225
Poland,PL,POL,2004,20878.6545002534,8323.38773754587,19629.7157535164
Poland,PL,POL,2005,21568.9476594356,8598.57681241557,20612.13622677
Poland,PL,POL,2006,22921.1975887696,9137.65850849801,21732.5529091914
Poland,PL,POL,2007,24484.0656663756,9760.7042604352,23183.1805472173
Poland,PL,POL,2008,25553.9058406534,10187.2017910883,24440.2854659698
Poland,PL,POL,2009,26204.410367111,10446.5289138524,25034.3954378878
Poland,PL,POL,2010,27112.1333797381,10808.3975674238,25680.2931512341
Poland,PL,POL,2011,28521.6612623568,11370.313427173,26745.1021641059
Poland,PL,POL,2012,28952.9157305301,11542.2353368014,26921.7127525138
Poland,PL,POL,2013,29168.624211075,11628.2286809525,27279.7449937796
Poland,PL,POL,2014,30334.8786569618,12093.1622787394,28541.0234212567
Poland,PL,POL,2015,31700.3682364154,12637.5220324406,30210.0058055175
Poland,PL,POL,2016,32675.3052259954,13026.1858988718,31163.8536057386
Poland,PL,POL,2017,34354.5987616319,13695.6452848724,32680.3593434841
Poland,PL,POL,2018,36500.4114282584,14551.0850277089,34573.912554408496
Poland,PL,POL,2019,38181.6230334689,15221.3090624454,36429.0202443595
Poland,PL,POL,2020,37852.8021313639,15090.2228440113,36753.2133812552
Poland,PL,POL,2021,41059.5847829682,16368.6239689025,39255.3047674688
Poland,PL,POL,2022,43405.0215797441,17303.64494323,40906.8776253687
Poland,PL,POL,2023,43672.7668014946,17410.3830137066,41697.4974278291
Poland,PL,POL,2024,45112.5993993196,17984.380010913,43043.7502844657
Romania,RO,ROU,1990,16316.0306942767,5019.43702748333,12490.7655114057
Romania,RO,ROU,1991,14332.2556730924,4409.1517208357,11242.790260428
Romania,RO,ROU,1992,13194.3835654019,4059.09860455382,10017.4123190526
Romania,RO,ROU,1993,13414.3495892537,4126.76859277572,10370.3355051557
Romania,RO,ROU,1994,13962.0773227305,4295.27065788629,10847.8695963112
Romania,RO,ROU,1995,14862.4441364574,4572.25803354276,11043.2416208832
Romania,RO,ROU,1996,15487.7848240527,4764.63682106299,11245.9128866904
Romania,RO,ROU,1997,14779.2604188271,4546.66753054721,10779.4841216266
Romania,RO,ROU,1998,14509.2693462544,4463.60791806212,10717.2824992028
Romania,RO,ROU,1999,14477.3271092762,4453.78126046181,10739.220908783
Romania,RO,ROU,2000,14852.858576979,4569.30914768462,11281.0753945476
Romania,RO,ROU,2001,15847.5133139353,4875.30310600635,11981.3531339023
Romania,RO,ROU,2002,17060.7782418274,5248.54994632668,12945.334210205
Romania,RO,ROU,2003,17586.5852586018,5410.30835796252,13213.3301990398
